"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"6481",1000,121,0.02,1.5,0.4,-0.00808517197029193,0.0315850248491504,5,1,0,-0.010223428560506,0.53365838176261,1,0,0.001,0,0.002,0,-0.0204506624734092
"6482",1000,121,0.02,1.5,0.4,-0.0150527838094807,0.0364157332638708,6,1,0.3,0.164338773592593,0.138333609025425,1,0,0.001,0.002,0,Inf,0.328713315102943
"6483",1000,121,0.02,1.5,0.4,0.00226571665057507,0.0479507581444228,7,1,0.6,0.303672823887912,0.499186273656982,1,0,0.001,0,0.002,0,0.607514063328693
"6484",1000,121,0.02,1.5,0.4,0.0895603228077069,0.0926982822234884,7,1,0.9,0.466002943635319,1.8916066694608,1,0,0.001,0.002,0,Inf,0.934809500407173
"6485",1000,122,0.02,1.5,0.4,-0.0283663299557102,0.03208291114146,5,1,0,0.00693593317565538,1.33229030807286,1,0,0.001,0.002,0,Inf,0.0138770128057197
"6486",1000,122,0.02,1.5,0.4,0.0191537644848205,0.0346525279303162,6,1,0.3,0.165479387007562,2.35568210677481,1,0,0.001,0.002,0,Inf,0.331969032799722
"6487",1000,122,0.02,1.5,0.4,0.0528314215995356,0.0492980115621625,7,1,0.6,0.315300143157658,0.551335823495692,2,0.0907403991597176,0.002,0.004,0,Inf,0.634604926359094
"6488",1000,122,0.02,1.5,0.4,0.101533484639445,0.0925303940583755,8,1,0.9,0.466499418013318,0.479060013980431,1,0,0.001,0,0.002,0,0.932998986206199
"6489",1000,123,0.02,1.5,0.3,-0.00486713871821826,0.0309117040265189,5,1,0,0.00866251714018684,1.30271963021606,1,0,0.001,0,0.002,0,0.0173411568743713
"6490",1000,123,0.02,1.5,0.4,-0.0168249088142168,0.0384299710138905,6,1,0.3,0.165172327413534,0.695081325202389,1,0,0.001,0.002,0,Inf,0.330360022743709
