"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"7522",1500,51,0.375,0.00411872104280905,0.0269957578094871,5,0.10754484605087,0.0537722070727963,12.0002012130687,584,1.25195238336586,0.88,0.877333333333333,0.882666666666667,0.993957703927492
"7523",1500,51,0.375,-0.00687875194202776,0.0278011794439764,6,0.204585645930143,0.102229656373535,8.11865788677978,534,1.25560942158442,0.849333333333333,0.861333333333333,0.837333333333333,1.02866242038217
"7524",1500,51,0.375,0.0126708700363267,0.0314935520491856,6,0.325688035252153,0.162546379778038,7.97406791460597,547,1.03717134703682,0.838666666666667,0.838666666666667,0.838666666666667,1
"7525",1500,51,0.375,0.0307314784716663,0.0329402759539945,6,0.401857860137954,0.200879835823953,10.9480988558631,523,1.0281472955652,0.802,0.797333333333333,0.806666666666667,0.988429752066116
"7526",1500,51,0.375,0.038226936921693,0.0390042690304098,7,0.503341204048216,0.251163462529602,10.5284651775033,530,1.09398495061806,0.793333333333333,0.789333333333333,0.797333333333333,0.989966555183946
"7527",1500,51,0.375,0.0535152680926895,0.0453758142031178,8,0.633618967989638,0.316767661352543,11.8129965012718,452,1.09065892669942,0.738666666666667,0.721333333333333,0.756,0.954144620811287
"7528",1500,51,0.375,0.0759267845569955,0.0501271794749602,7,0.731567336898377,0.364105418586003,8.18788494661458,526,0.971830218857868,0.784666666666667,0.762666666666667,0.806666666666667,0.945454545454546
"7529",1500,51,0.375,0.065292169655647,0.0678863587927671,7,0.831616365765869,0.415692217211087,8.64861911373598,471,1.05116337204574,0.713333333333333,0.716,0.710666666666667,1.00750469043152
"7530",1500,51,0.375,0.0749631083024238,0.10440149392193,9,0.934849080405993,0.465838548618055,8.5831207297479,464,0.835795769825346,0.729333333333333,0.732,0.726666666666667,1.00733944954128
"7531",500,52,0.375,-0.0291611197590735,0.0543119529344239,5,0.0289987208447868,0.014493722900785,8.41285407222557,177,1.55805329366479,0.862,0.872,0.852,1.02347417840376
"7532",500,52,0.375,-0.0156422379219032,0.0528297303862035,5,0.0993123657717224,0.049651551158055,6.51707064902791,197,1.17334927471871,0.874,0.888,0.86,1.03255813953488
"7533",500,52,0.375,0.00060531523268011,0.0660442125497734,5,0.233476890879345,0.116198519082301,10.3373708865153,206,1.23252484518141,0.852,0.84,0.864,0.972222222222222
"7534",500,52,0.375,0.00443931313015944,0.0676962036764872,5,0.289385837841063,0.144539186831249,8.37107780672441,181,1.31442578245854,0.834,0.824,0.844,0.976303317535545
"7535",500,52,0.375,0.0268848421825882,0.0769213810132722,6,0.434983617643972,0.217481630224,6.97162820624177,192,1.10247141849294,0.826,0.812,0.84,0.966666666666667
